index,Enc. Variable 0,Enc. Variable 1,Enc. Variable 2,Enc. Variable 3,Enc. Variable 4,Enc. Variable 5,Enc. Variable 6,Enc. Variable 7,Enc. Variable 8
0,-0.3912794,0.99920434,0.2772883,0.47394228,0.27799392,-1.1767721,0.45955247,-0.7035368,0.7304745
1,0.21205898,1.3928895,-0.27782655,-0.08099289,1.353606,-0.7242033,-0.03720972,-0.32802182,0.6297202
2,-0.37399095,1.3376071,0.0032798126,0.35666168,-0.84128,1.3613986,0.19540305,-0.2683055,0.36552256
3,0.31554246,1.1062021,0.6846852,-0.30782634,1.0987111,-0.9700905,-0.093969434,-1.2808554,-0.14012426
4,-0.93984747,-1.4455779,-0.5016217,0.22892246,0.12719789,-0.3453952,0.82581747,0.539486,0.8191419
5,0.23485641,-0.72482324,-0.2645526,0.79709196,0.58174694,0.978844,0.7335088,0.8377669,1.2165287
6,-0.5730363,-0.458016,0.5271286,0.48424363,0.3424989,0.3375059,1.4385389,0.339092,0.16452184
7,-0.7756721,-0.404231,0.92816746,0.93613684,0.46575734,0.47799,1.4532914,-0.10720775,0.035844367
8,0.18148662,1.500893,-0.12706943,0.5929545,0.98951906,-0.5387629,-0.8483179,-1.1485381,-0.032233775
9,0.6220525,-0.055000976,1.3662094,-0.14351872,-0.117219865,-0.338448,-0.24191666,-0.46726444,0.42026123
10,0.021313846,0.21009722,0.2945616,0.9092795,0.28047922,-0.9135312,-0.17715369,-1.5479758,0.43345582
11,1.3698779,0.29468006,-0.54362124,-0.16733617,1.2437687,0.119735554,-0.37520742,0.389673,-0.015007526
12,-0.89109355,0.9605587,0.18052311,1.3242952,1.2870903,-0.8512011,0.82921565,0.5698118,0.87610406
13,-0.13491648,-0.5032725,1.4027957,-0.4312212,0.28764558,1.1011277,0.14286305,1.417345,-0.57527655
14,-0.7971291,1.4140176,0.33279517,-1.1195536,0.26542956,0.3385482,-0.1007133,0.30191657,-0.21328646
15,0.22151428,-0.07166542,0.42433912,0.3045138,0.20234695,-1.941811,0.3659526,-1.1498203,0.2561831
16,1.4090451,-0.21787634,-0.54448926,-0.15692818,0.93786895,-0.08688001,-0.38696796,0.6372339,-0.25856775
17,-0.99576724,1.3474624,0.22759224,0.47604397,-0.104925975,0.5235692,0.68818104,-0.19932081,0.14001754
18,-0.47289366,0.100303024,-0.46311867,-1.0135007,0.0012458637,0.33099505,0.41949224,-0.33335108,0.57895005
19,-0.2785608,1.5195452,0.60876685,-0.10580906,1.0789875,0.01891841,0.37234014,-0.022151016,1.4503999
20,1.3162733,-0.44078064,0.3388852,0.24455424,0.1732274,-1.0583873,0.56853116,-0.35009712,0.46236196
21,1.3272454,0.4964012,0.100638956,0.952497,0.95484686,0.05645943,-0.28922656,0.0852803,0.68888015
22,-0.35995585,-1.1880248,-1.0308169,0.21903722,-0.33234435,0.25472376,1.21399,1.0569699,1.1197526
23,0.7550361,0.14846018,1.6150204,0.11996271,0.21482512,0.03206815,-1.1252826,-0.08159071,-0.24011028
24,-0.16756143,-0.4415296,-0.37485582,0.73458666,0.1405886,-0.095046096,0.9781286,0.32878643,1.012588
25,0.46564192,0.2506319,-0.5015396,0.39026746,-0.0776699,-0.45283404,-0.16647768,-0.92200446,1.258249
